hospital_system,city,domain,source_url,mrf_url,reason,status,notes
Mount Sinai,"New York, NY",mountsinai.org,https://www.mountsinai.org/about/insurance/price-transparency,https://www.mountsinai.org/files/mrf/131624096_mount-sinai-hospital_standardcharges.json,root_cms_hpt_blocked,verified,"Official Mount Sinai price transparency page links direct JSON MRF for The Mount Sinai Hospital, One Gustave L Levy Place, New York; accessible with browser-compatible TLS despite Akamai blocking plain curl."
Johns Hopkins Medicine,,hopkinsmedicine.org,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/520591656_the-johns-hopkins-hospital_standardcharges.csv,root_cms_hpt_blocked,verified,Official Johns Hopkins Medicine Federal Price Transparency page directly links CSV MRF for The Johns Hopkins Hospital; MRF accessible with browser-compatible TLS.
Banner Health,"Phoenix, AZ",bannerhealth.com,https://www.bannerhealth.com/patients/billing/pricing-resources/hospital-price-transparency,https://images.pricetransparency.healthcare/public-mrfs/banner/270036499_banner-university-medical-center-phoenix_standardcharges.csv,root_cms_hpt_blocked,verified,Official Banner Health Hospital Price Transparency page directly links CSV MRF for Banner - University Medical Center Phoenix.
Dignity Health,"Phoenix, AZ",dignityhealth.org,https://www.commonspirit.org/patient-resources/dignity-health-arizona-price-transparency,https://www.commonspirit.org/content/dam/commonspiritorg/en/dharz/ceaz/finance/price-transparency/941196203-1982733655_dignity-health-st-josephs-hospital-and-medical-center_standardcharges.json,root_cms_hpt_missing,verified,Dignity Health Arizona price transparency is hosted by CommonSpirit; selected St. Josephs Hospital and Medical Center Phoenix JSON MRF linked from official page.
St. Luke's Health,"Houston, TX",stlukeshealth.org,https://www.commonspirit.org/patient-resources/bslmc-price-transparency,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,root_cms_hpt_missing,verified,Official CommonSpirit Baylor St. Lukes Medical Center price transparency page links JSON MRF for Baylor St. Lukes Medical Center Houston / McNair Campus.
UC San Diego Health,"San Diego, CA",health.ucsd.edu,https://health.ucsd.edu/insurance-billing/standard-charges/,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,manual_southern_california_discovery,verified,"Official UC San Diego Health standard charges page links JSON MRF for UC San Diego Medical Center; locations include Hillcrest, Jacobs, Moores, Sulpizio, and East Campus. Large file ~3GB."
Cedars-Sinai,"Los Angeles, CA",cedars-sinai.org,https://www.cedars-sinai.org/price-transparency.html,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,manual_southern_california_discovery,verified,"Official Cedars-Sinai Price Transparency page directly links JSON MRF for Cedars-Sinai Medical Center, 8700 Beverly Blvd, Los Angeles."
Hollywood Presbyterian Medical Center,"Los Angeles, CA",hollywoodpresbyterian.com,https://hollywoodpresbyterian.com/cms-hpt.txt,https://www.hollywoodpresbyterian.com/300284087_HOLLYWOOD-PRESBYTERIAN-MEDICAL-CENTER_STANDARDCHARGES.json,next_10_socal_expansion,verified,Official cms-hpt/source verified for Hollywood Presbyterian Medical Center; full local JSON downloaded as hollywood-presbyterian-standardcharges.json.
Huntington Health,"Los Angeles, CA",huntingtonhealth.org,https://huntingtonhealth.org/cms-hpt.txt,https://media.huntingtonhealth.org/951644036_HUNTINGTON-HOSPITAL_standardcharges.csv,next_10_socal_expansion,verified,Official cms-hpt/source verified for Huntington Hospital; full local CSV downloaded as huntington-hospital-standardcharges.csv.
UCI Health,"Orange County, CA",ucihealth.org,https://ucihealth.org/cms-hpt.txt,https://www.ucihealth.org/pricetransparency/952226406_regents-of-the-university-of-california-at-irvine-hospital_standardcharges.json,next_10_socal_expansion,verified,Official cms-hpt/source verified for UCI Medical Center; full local JSON downloaded as uci-medical-center-standardcharges.json.
Hoag,"Orange County, CA",hoag.org,https://hoag.org/cms-hpt.txt,https://downloads.ctfassets.net/8u2cuf59smsh/52tazi7symInZOZZ2g2eJU/a5edeceac81a9d8369ea9548032e2d42/951643327_hoag-memorial-hospital-presbyterian_standardcharges.csv,next_10_socal_expansion,verified,Official cms-hpt/source verified for Hoag Hospital Newport Beach; full local CSV downloaded as hoag-newport-beach-standardcharges.csv.
MemorialCare,"Orange County, CA",memorialcare.org,https://www.memorialcare.org/cms-hpt.txt,https://www.memorialcare.org/sites/default/files/_images/content/Patient-Financial-Services/330687414_memorialcare-orange-coast-medical-center_standardcharges.json,next_10_socal_expansion,verified,Official cms-hpt/source verified for MemorialCare Orange Coast Medical Center; full local JSON downloaded as memorialcare-orange-coast-standardcharges.json.
Loma Linda University Health,"Inland Empire, CA",lluh.org,https://lluh.org/cms-hpt.txt,https://pricetransparency.healthcare/llu-mc/charges/export,next_10_socal_expansion,verified,Official cms-hpt/source verified for Loma Linda University Medical Center; full local CSV downloaded as loma-linda-university-medical-center-standardcharges.csv.
Riverside Community Hospital,"Inland Empire, CA",riversidecommunityhospital.com,https://riversidecommunityhospital.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/33-0751869_RIVERSIDE-COMMUNITY-HOSPITAL_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,next_10_socal_expansion,verified,Official cms-hpt/source verified for Riverside Community Hospital; full local JSON downloaded as riverside-community-hospital-standardcharges.json.
Tri-City Medical Center,"San Diego County, CA",tricitymed.org,https://tricitymed.org/cms-hpt.txt,https://tricitymed.org/wp-content/uploads/2026/03/952126937_Tri-City-Medical-Center_standardcharges.csv,next_10_socal_expansion,verified,Official cms-hpt/source verified for Tri-City Medical Center; full local CSV downloaded as tri-city-medical-center-standardcharges.csv.
HCA Far West,"Ventura County, CA",losrobleshospital.com,https://losrobleshospital.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/95-2321136_LOS-ROBLES-HOSPITAL-AND-MEDICAL-CENTER_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,next_10_socal_expansion,verified,Official cms-hpt/source verified for Los Robles Regional Medical Center; full local JSON downloaded as los-robles-regional-medical-center-standardcharges.json.
Community Memorial Healthcare,"Ventura County, CA",mycmh.org,https://mycmh.org/cms-hpt.txt,https://www.mycmh.org/documents/951683892_community-memorial-healthcare-ventura_standardcharges.csv.csv,next_10_socal_expansion,verified,Official cms-hpt/source verified for Community Memorial Healthcare - Ventura; full local CSV downloaded as community-memorial-ventura-standardcharges.csv.
Scripps Memorial Hospital La Jolla,"La Jolla, CA",scripps.org,https://apps.scripps.org/pricetransparency/,https://apps.scripps.org/pricetransparency/951684089_Scripps-Memorial-Hospital-La-Jolla_standardcharges.csv,phase1_sandiego_expansion,verified,Official Scripps price transparency endpoint verified; full local CSV downloaded as scripps-memorial-la-jolla-standardcharges.csv.
Scripps Mercy Hospital San Diego,"San Diego, CA",scripps.org,https://apps.scripps.org/pricetransparency/,https://apps.scripps.org/pricetransparency/951684089_Scripps-Mercy-Hospital-San-Diego_standardcharges.csv,phase1_sandiego_expansion,verified,Official Scripps price transparency endpoint verified; full local CSV downloaded as scripps-mercy-san-diego-standardcharges.csv.
