file,format,jobs,raw_matches,search_ready_rows
cedars-sinai-standardcharges.json,json,39,2704,3682
community-memorial-ventura-standardcharges.csv,csv,39,56,56
hoag-newport-beach-standardcharges.csv,csv,39,290,258
hollywood-presbyterian-standardcharges.json,json,39,203,203
huntington-hospital-standardcharges.csv,csv,39,3865,5377
keck-hospital-usc-standardcharges.csv,csv,39,842,775
loma-linda-university-medical-center-standardcharges.csv,csv,39,3103,6154
los-robles-regional-medical-center-standardcharges.json,json,39,6084,6914
memorialcare-orange-coast-standardcharges.json,json,39,1342,1342
rady-childrens-standardcharges.csv,csv,39,360,338
riverside-community-hospital-standardcharges.json,json,39,5528,6169
scripps-green-standardcharges.csv,csv,39,6723,13446
sharp-chula-vista-standardcharges.csv,csv,39,1212,2424
tri-city-medical-center-standardcharges.csv,csv,39,125,125
uci-medical-center-standardcharges.json,json,39,552,552
ucla-ronald-reagan-standardcharges.json,json,39,839,839
ucsd-standardcharges.json,json,39,8125,16250
