hospital_name,hospital_system,region,mrf_url,hospital_engine_status,procedure_name,code_type,procedure_code,care_setting,is_primary,scan_priority,scan_status,local_path,local_scan_status,match_count,search_ready_count,scan_scope
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Gallbladder removal,CPT,47562,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Gallbladder removal,CPT,47563,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hernia repair,CPT,49505,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hernia repair,CPT,49650,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hysterectomy,CPT,58571,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,2,2,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hysterectomy,CPT,58150,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,2,2,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Cataract surgery,CPT,66984,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,2,2,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Upper endoscopy,CPT,43235,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Upper endoscopy,CPT,43239,outpatient,false,2,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,5,5,large_local_json
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Screening mammogram,CPT,77067,outpatient,true,1,queued,C:\Users\sam\Documents\healthscan\data\raw\mrf\cedars-sinai-standardcharges.json,matched,2,2,large_local_json
