hospital,procedure_name,code_type,code,range_start,range_end,sample_line
Keck Hospital of USC,Colonoscopy,HCPCS,G0121,60000000,69999999,"""Colon ca scrn not hi rsk ind"",""G0121"",""HCPCS"","""","""","""","""","""","""",""facility"",""outpatient"","""","""","""","""","""",""Blue Shield"",""Hmo/Ppo"",""3765"","""","""","""","""","""","""",""fee schedule"",""1196.08"",""6193"","""""
Keck Hospital of USC,Appendectomy,DRG,343,80000000,89999999,"""Appendectomy Without Complicated Principal Diagnosis Without Cc/Mcc"",""343"",""MS-DRG"","""","""","""","""","""","""",""facility"",""inpatient"","""","""","""","""","""",""Blue Shield"",""Calpers Other Commercial Plan"",""26868.03"","""","""","""","""","""","""",""fee schedule"",""20152.13"",""27986.61"","""""
Scripps Green Hospital,Appendectomy,CPT,44970,0,9999999,"""HC Laparoscopy Appendectomy"",""PX-50400280"",""CDM"",""44970"",""CPT"",""0360"",""RC"","""","""",""both"","""","""",55689.42,13922.35,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",7775.56,,""APC Price ($7,775.56). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",588.44,44551.54,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Emergency department visit,CPT,99284,0,9999999,"""HC ER Level IV Trauma"",""PX-40500002"",""CDM"",""99284"",""CPT"",""0450"",""RC"","""","""",""both"","""","""",19633.13,4908.28,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",536.67,,""APC Price ($536.67). The procedure can be bundled into a comprehensive APC if other services qualifying for that comprehensive APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",118.58,17669.82,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Emergency department visit,CPT,99283,0,9999999,"""HC ER Level III"",""PX-40100002"",""CDM"",""99283"",""CPT"",""0450"",""RC"","""","""",""both"","""","""",2414.77,603.69,""UNITED HEALTHCARE MEDICARE ADVANTAGE [572]"",""UNITED HEALTH MEDICARE SHGH"","""",368.65,,""APC Price ($351.09). The procedure can be bundled into a comprehensive APC if other services qualifying for that comprehensive APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount. Final payment is multiplied by 105%."",,,,""0"",""other"",69.85,2173.29,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Brain MRI,CPT,70553,0,9999999,"""HC MR Brain W/WO"",""PX-60300057"",""CDM"",""70553"",""CPT"",""0611"",""RC"","""","""",""both"","""","""",5902.98,1475.74,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",448.71,,""APC Price ($448.71). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",197.04,4722.38,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Brain MRI,CPT,70552,0,9999999,"""HC MR Brain W"",""PX-60300058"",""CDM"",""70552"",""CPT"",""0611"",""RC"","""","""",""both"","""","""",4146.31,1036.58,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",448.71,,""APC Price ($448.71). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",173.98,3317.05,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,CT abdomen and pelvis,CPT,74177,0,9999999,"""HC CT Abdomen & Pelvis W"",""PX-60200015"",""CDM"",""74177"",""CPT"",""0350"",""RC"","""","""",""both"","""","""",9000.00,2250.00,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",448.71,,""APC Price ($448.71). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",201.57,7200.00,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,CT abdomen and pelvis,CPT,74178,0,9999999,"""HC CT Abdomen & Pelvis W/WO"",""PX-60200014"",""CDM"",""74178"",""CPT"",""0350"",""RC"","""","""",""both"","""","""",9450.00,2362.50,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",448.71,,""APC Price ($448.71). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",207.00,7560.00,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Colonoscopy,CPT,45380,0,9999999,"""HC Colonoscopy W/Biopsy"",""PX-50200016"",""CDM"",""45380"",""CPT"",""0750"",""RC"","""","""",""both"","""","""",3887.40,971.85,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",1539.08,,""APC Price ($1,539.08). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",184.11,3847.70,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
