checked_at,city,hospital_system,cms_hpt_url,cms_hpt_status,cms_hpt_content_type,mrf_url,mrf_count,mrf_probe_status,mrf_content_type,mrf_size_bytes,mrf_format,accessibility_result,notes
2026-06-13T22:39:00Z,"New York, NY",NewYork-Presbyterian,https://nyp.org/cms-hpt.txt,200,text/plain,https://nyp.widen.net/content/hisgjrgpuk/original/133957095_NewYork-Presbyterian-Hospital_standardcharges.json.zip?u=n8xzey&download=true,3,200,application/zip,3392675,JSON,pass,"First of 3 mrf-url candidates; JSON content in ZIP."
2026-06-13T22:39:00Z,"New York, NY",NYU Langone Health,https://nyulangone.org/cms-hpt.txt,200,text/plain,https://standard-charges-prod.s3.amazonaws.com/pricing_files/133971298-1801992631_nyu-langone-tisch_standardcharges.csv,5,200,text/csv,482303807,CSV,pass,"First of 5 mrf-url candidates; large CSV."
2026-06-13T22:39:00Z,"New York, NY",Mount Sinai,,fail,, ,0,,,,unknown,fail,"Root and www cms-hpt.txt returned 403 from this environment."
2026-06-13T22:39:00Z,"Houston, TX",Houston Methodist,https://houstonmethodist.org/cms-hpt.txt,200,text/plain,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,9,200,application/octet-stream,72060229,download,pass,"First of 9 mrf-url candidates; extensionless/ashx download."
2026-06-13T22:39:00Z,"Houston, TX",Memorial Hermann,https://memorialhermann.org/cms-hpt.txt,200,text/plain,https://memorialhermann.org/-/media/memorial-hermann/org/files/patients-and-visitors/cms-standard-hospital-charges/741152597_childrens-memorial-hermann-hospital_standardcharges.ashx,19,200,text/csv,36141330,CSV,pass,"First of 19 mrf-url candidates."
2026-06-13T22:39:00Z,"Houston, TX",St. Luke's Health,,fail,, ,0,,,,unknown,fail,"Root and www cms-hpt.txt returned 404 from this environment."
2026-06-13T22:39:00Z,"Minneapolis, MN",Allina Health,https://allinahealth.org/cms-hpt.txt,200,text/plain,https://www.allinahealth.org/-/media/allina-health/files/customer-service/billing-and-insurance/price-transparency/363261413_allina-health-faribault-medical-center_standardcharges.csv,10,200,text/csv,,CSV,pass,"First of 10 mrf-url candidates."
2026-06-13T22:39:00Z,"Minneapolis, MN",M Health Fairview,https://mhealthfairview.org/cms-hpt.txt,200,text/plain,https://requiredlearning.fairview.org/price_transparency/410991680-1083692941_fairview-health-services_standardcharges.csv,9,200,text/csv,1190230367,CSV,pass,"First of 9 mrf-url candidates; large CSV."
2026-06-13T22:39:00Z,"Minneapolis, MN",Hennepin Healthcare,https://hennepinhealthcare.org/cms-hpt.txt,200,text/plain,https://hennepinhealthcare.pt.panaceainc.com/MRFDownload/hennepinhealthcare/hennepinhealthcare,1,200,application/octet-stream,691092871,download,pass,"Single MRFDownload endpoint."
2026-06-13T22:39:00Z,"Phoenix, AZ",Banner Health,,fail,, ,0,,,,unknown,fail,"Root and www cms-hpt.txt returned 403 from this environment."
2026-06-13T22:39:00Z,"Phoenix, AZ",HonorHealth,https://honorhealth.com/cms-hpt.txt,200,text/plain,https://www.honorhealth.com/sites/default/files/2023-12/860181654_honorhealthdvmc_standardcharges.csv,9,200,text/csv,20,CSV,pass,"First of 9 mrf-url candidates; HEAD content length appears unreliable and needs crawler verification."
2026-06-13T22:39:00Z,"Phoenix, AZ",Dignity Health,,fail,, ,0,,,,unknown,fail,"Root and www cms-hpt.txt returned 404 from this environment."
2026-06-13T22:39:00Z,"Asheville, NC",Mission Health,https://missionhealth.org/cms-hpt.txt,200,text/plain; charset=utf-8,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/83-2053115_ANGEL-MEDICAL-CENTER_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,7,200,application/octet-stream,471807086,JSON,pass,"First of 7 mrf-url candidates; signed Blob URL."
2026-06-13T22:39:00Z,"Asheville, NC",AdventHealth Hendersonville,https://adventhealth.com/cms-hpt.txt,200,text/plain,https://urldefense.com/v3/__https://hospitalpricedisclosure.com/download.aspx?pi=Z8jTqHwZ1ep3y2PIIVscAg*-*__;Kio!!OwHQNGuS!NNxzc3gzcCDbWC_3aBKJU3Bm28st5mdzWI_DoAkJmDmhsUhsHjB8niD15jvlGIrs7b_d4aR0fJBjowy6rVbgBT7HY1pFvQ$,40,200,application/octet-stream,1484273,download,pass,"First of 40 mrf-url candidates; URLDefense wrapper must be decoded or followed."
2026-06-13T22:39:00Z,"Asheville, NC",Pardee Hospital,https://pardeehospital.org/cms-hpt.txt,200,text/plain,http://rca.elevatepfs.com/ptapp/api/cdm/export/oneclick?recno=ba3c4e2c4a2e1f7ea210c970fc4319b1465e1ac06ec9ea1c4d6cfc8c1be9351c,1,200,application/octet-stream,0,download,pass,"Single export endpoint; content length is not informative."
