checked_at,city,hospital_system,discovery_method,cms_hpt_or_source_url,mrf_url,mrf_probe_status,mrf_content_type,mrf_size_bytes,mrf_format,accessibility_result,notes
2026-06-13T23:15:00Z,"New York, NY",NewYork-Presbyterian,cms_hpt,https://nyp.org/cms-hpt.txt,https://nyp.widen.net/content/hisgjrgpuk/original/133957095_NewYork-Presbyterian-Hospital_standardcharges.json.zip?u=n8xzey&download=true,200,application/zip,3392675,JSON,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"New York, NY",NYU Langone Health,cms_hpt,https://nyulangone.org/cms-hpt.txt,https://standard-charges-prod.s3.amazonaws.com/pricing_files/133971298-1801992631_nyu-langone-tisch_standardcharges.csv,200,text/csv,482303807,CSV,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"New York, NY",Mount Sinai,manual_registry,https://www.mountsinai.org/about/insurance/price-transparency,https://www.mountsinai.org/files/mrf/131624096_mount-sinai-hospital_standardcharges.json,403,text/html,461,JSON,pass_manual_verified,"Registry bot verified official source and MRF URL; local HEAD probe still receives Akamai 403."
2026-06-13T23:15:00Z,"Houston, TX",Houston Methodist,cms_hpt,https://houstonmethodist.org/cms-hpt.txt,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,200,application/octet-stream,72060229,download,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Houston, TX",Memorial Hermann,cms_hpt,https://memorialhermann.org/cms-hpt.txt,https://memorialhermann.org/-/media/memorial-hermann/org/files/patients-and-visitors/cms-standard-hospital-charges/741152597_childrens-memorial-hermann-hospital_standardcharges.ashx,200,text/csv,36141330,CSV,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Houston, TX",St. Luke's Health,manual_registry,https://www.commonspirit.org/patient-resources/bslmc-price-transparency,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,200,application/json,,JSON,pass,"Manual registry fallback MRF probe succeeded."
2026-06-13T23:15:00Z,"Minneapolis, MN",Allina Health,cms_hpt,https://allinahealth.org/cms-hpt.txt,https://www.allinahealth.org/-/media/allina-health/files/customer-service/billing-and-insurance/price-transparency/363261413_allina-health-faribault-medical-center_standardcharges.csv,200,text/csv,,CSV,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Minneapolis, MN",M Health Fairview,cms_hpt,https://mhealthfairview.org/cms-hpt.txt,https://requiredlearning.fairview.org/price_transparency/410991680-1083692941_fairview-health-services_standardcharges.csv,200,text/csv,1190230367,CSV,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Minneapolis, MN",Hennepin Healthcare,cms_hpt,https://hennepinhealthcare.org/cms-hpt.txt,https://hennepinhealthcare.pt.panaceainc.com/MRFDownload/hennepinhealthcare/hennepinhealthcare,200,application/octet-stream,691092871,download,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Phoenix, AZ",Banner Health,manual_registry,https://www.bannerhealth.com/patients/billing/pricing-resources/hospital-price-transparency,https://images.pricetransparency.healthcare/public-mrfs/banner/270036499_banner-university-medical-center-phoenix_standardcharges.csv,200,text/csv,128420156,CSV,pass,"Manual registry fallback MRF probe succeeded."
2026-06-13T23:15:00Z,"Phoenix, AZ",HonorHealth,cms_hpt,https://honorhealth.com/cms-hpt.txt,https://www.honorhealth.com/sites/default/files/2023-12/860181654_honorhealthdvmc_standardcharges.csv,200,text/csv,20,CSV,pass,"Primary cms-hpt discovery succeeded; content length needs crawler verification."
2026-06-13T23:15:00Z,"Phoenix, AZ",Dignity Health,manual_registry,https://www.commonspirit.org/patient-resources/dignity-health-arizona-price-transparency,https://www.commonspirit.org/content/dam/commonspiritorg/en/dharz/ceaz/finance/price-transparency/941196203-1982733655_dignity-health-st-josephs-hospital-and-medical-center_standardcharges.json,200,application/json,,JSON,pass,"Manual registry fallback MRF probe succeeded."
2026-06-13T23:15:00Z,"Asheville, NC",Mission Health,cms_hpt,https://missionhealth.org/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/83-2053115_ANGEL-MEDICAL-CENTER_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,200,application/octet-stream,471807086,JSON,pass,"Primary cms-hpt discovery succeeded."
2026-06-13T23:15:00Z,"Asheville, NC",AdventHealth Hendersonville,cms_hpt,https://adventhealth.com/cms-hpt.txt,https://urldefense.com/v3/__https://hospitalpricedisclosure.com/download.aspx?pi=Z8jTqHwZ1ep3y2PIIVscAg*-*__;Kio!!OwHQNGuS!NNxzc3gzcCDbWC_3aBKJU3Bm28st5mdzWI_DoAkJmDmhsUhsHjB8niD15jvlGIrs7b_d4aR0fJBjowy6rVbgBT7HY1pFvQ$,200,application/octet-stream,1484273,download,pass,"Primary cms-hpt discovery succeeded, but URLDefense wrapper should be decoded."
2026-06-13T23:15:00Z,"Asheville, NC",Pardee Hospital,cms_hpt,https://pardeehospital.org/cms-hpt.txt,http://rca.elevatepfs.com/ptapp/api/cdm/export/oneclick?recno=ba3c4e2c4a2e1f7ea210c970fc4319b1465e1ac06ec9ea1c4d6cfc8c1be9351c,200,application/octet-stream,0,download,pass,"Primary cms-hpt discovery succeeded; content length is not informative."
