file,format,jobs,raw_matches,search_ready_rows
cedars-sinai-standardcharges.json,json,81,12016,15220
community-memorial-ventura-standardcharges.csv,csv,81,83,83
hoag-newport-beach-standardcharges.csv,csv,81,1094,714
hollywood-presbyterian-standardcharges.json,json,81,549,549
huntington-hospital-standardcharges.csv,csv,81,7164,10874
keck-hospital-usc-standardcharges.csv,csv,81,2971,2081
loma-linda-university-medical-center-standardcharges.csv,csv,81,4400,8851
los-robles-regional-medical-center-standardcharges.json,json,81,44429,47004
memorialcare-orange-coast-standardcharges.json,json,81,2921,2921
paradise-valley-standardcharges.json,json,81,3755,7489
rady-childrens-standardcharges.csv,csv,81,829,500
riverside-community-hospital-standardcharges.json,json,81,42044,43844
scripps-green-standardcharges.csv,csv,81,9240,20493
scripps-memorial-la-jolla-standardcharges.csv,csv,81,10294,22140
scripps-mercy-san-diego-standardcharges.csv,csv,81,10224,22253
sharp-chula-vista-standardcharges.csv,csv,81,2139,4750
sharp-grossmont-standardcharges.csv,csv,81,1986,4478
sharp-memorial-standardcharges.csv,csv,81,775,1736
tri-city-medical-center-standardcharges.csv,csv,81,165,167
uci-medical-center-standardcharges.json,json,81,1607,1607
ucla-ronald-reagan-standardcharges.json,json,81,1620,1620
ucsd-standardcharges.json,json,81,20689,41378
