hospital,procedure_name,code_type,code,description,setting,display_price,display_price_type,gross_price,cash_price,negotiated_price,negotiated_min,negotiated_max,payer_name,plan_name,data_quality_flag,user_relevance_flag,user_relevance_reason,source_url,evidence_source
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,PET Scan,outpatient,4155.27,negotiated,20510.2,13331.63,4155.27,650.84,4200.53,AETNA HEALTH OF CALIFORNIA INC.,HMO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,PET Scan,outpatient,4200.53,negotiated,20510.2,13331.63,4200.53,650.84,4200.53,AETNA HEALTH OF CALIFORNIA INC.,PPO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,"COMPUTED TOMOGRAPHY, ABDOMEN AND PELVIS; WITHOUT CONTRAST MATERIAL IN ONE OR BOTH BODY REGIONS, FOLLOWED BY CONTRAST MAT",outpatient,2382.08,negotiated,20510.2,13331.63,2382.08,650.84,4200.53,"Blue Cross of California, dba Anthem Blue Cross and its Affiliates",HMO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,"COMPUTED TOMOGRAPHY, ABDOMEN AND PELVIS; WITHOUT CONTRAST MATERIAL IN ONE OR BOTH BODY REGIONS, FOLLOWED BY CONTRAST MAT",outpatient,3793.7,negotiated,20510.2,13331.63,3793.7,650.84,4200.53,"Blue Cross of California, dba Anthem Blue Cross and its Affiliates",PPO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,CAT Scan,outpatient,2839.65,negotiated,20510.2,13331.63,2839.65,650.84,4200.53,AETNA HEALTH OF CALIFORNIA INC.,PPO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,CAT Scan,outpatient,2808.07,negotiated,20510.2,13331.63,2808.07,650.84,4200.53,AETNA HEALTH OF CALIFORNIA INC.,HMO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,"COMPUTED TOMOGRAPHY, ABDOMEN AND PELVIS; WITHOUT CONTRAST MATERIAL IN ONE OR BOTH BODY REGIONS, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS IN ONE OR BOTH BODY REGIONS",outpatient,650.84,negotiated,20510.2,13331.63,650.84,650.84,4200.53,"Cigna HealthCare of California, Inc. and Cigna Health and Life Insurance Company",PPO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,"COMPUTED TOMOGRAPHY, ABDOMEN AND PELVIS; WITHOUT CONTRAST MATERIAL IN ONE OR BOTH BODY REGIONS, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS IN ONE OR BOTH BODY REGIONS",outpatient,650.84,negotiated,20510.2,13331.63,650.84,650.84,4200.53,"Cigna HealthCare of California, Inc. and Cigna Health and Life Insurance Company",HMO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,CT SCAN,outpatient,2318.19,negotiated,20510.2,13331.63,2318.19,650.84,4200.53,"Blue Cross of California, dba Anthem Blue Cross and its Affiliates",HMO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
Cedars-Sinai Medical Center,CT scan abdomen,CPT,74178,CT SCAN,outpatient,2340.92,negotiated,20510.2,13331.63,2340.92,650.84,4200.53,"Blue Cross of California, dba Anthem Blue Cross and its Affiliates",PPO,ok,display_ok,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,targeted_cpt_dry_run
